sample,format,dataset,task,trans,feature,label,l_t,l_pre,l_mp,l_post,stage,bn,act,drop,agg,optim,lr,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
l_t,PyG,AmazonComputers,node,True,,,gaddconv,1,8,1,stack,True,swish,0.6,mean,adam,0.001,19,1.9761,0.0058,232039.0,0.3892,0.012,0.3749,0.0019,,,,,,,,
l_t,PyG,AmazonComputers,node,True,,,gaddconv,2,2,2,stack,False,swish,0.6,add,adam,0.1,0,2.3133,0.0208,275558.0,0.1934,0.0276,0.1038,0.0201,,,,,,,,
l_t,PyG,AmazonComputers,node,True,,,gaddconv,2,2,3,skipsum,False,prelu,0.6,add,sgd,0.001,39,2.1982,0.0099,258725.0,0.1715,0.0089,0.2288,0.0124,,,,,,,,
l_t,PyG,AmazonComputers,node,True,,,gaddconv,3,8,3,skipconcat,False,relu,0.0,add,sgd,0.1,379,1.1173,0.6221,158662.0,0.1908,0.0155,0.6265,0.2206,,,,,,,,
l_t,PyG,AmazonComputers,node,True,,,generalconv,1,8,1,stack,True,swish,0.6,mean,adam,0.001,99,1.3754,0.0053,232842.0,0.16,0.0061,0.7991,0.0004,,,,,,,,
l_t,PyG,AmazonComputers,node,True,,,generalconv,2,2,2,stack,False,swish,0.6,add,adam,0.1,0,2.3207,0.0169,274830.0,0.132,0.0571,0.0805,0.0141,,,,,,,,
l_t,PyG,AmazonComputers,node,True,,,generalconv,2,2,3,skipsum,False,prelu,0.6,add,sgd,0.001,59,2.1593,0.0294,260485.0,0.0993,0.0027,0.249,0.0212,,,,,,,,
l_t,PyG,AmazonComputers,node,True,,,generalconv,3,8,3,skipconcat,False,relu,0.0,add,sgd,0.1,19,1.8741,0.0034,158246.0,0.1146,0.0249,0.3766,0.0019,,,,,,,,
l_t,PyG,AmazonComputers,node,True,,,gmulconv,1,8,1,stack,True,swish,0.6,mean,adam,0.001,19,1.9908,0.002,233866.0,0.3107,0.0074,0.3737,0.0019,,,,,,,,
l_t,PyG,AmazonComputers,node,True,,,gmulconv,2,2,2,stack,False,swish,0.6,add,adam,0.1,0,2.3246,0.0067,275194.0,0.1985,0.0505,0.0963,0.0024,,,,,,,,
l_t,PyG,AmazonComputers,node,True,,,gmulconv,2,2,3,skipsum,False,prelu,0.6,add,sgd,0.001,59,2.1859,0.0138,260811.0,0.1684,0.0086,0.228,0.0083,,,,,,,,
l_t,PyG,AmazonComputers,node,True,,,gmulconv,3,8,3,skipconcat,False,relu,0.0,add,sgd,0.1,139,1.4068,0.3242,158454.0,0.163,0.007,0.5127,0.1364,,,,,,,,
l_t,PyG,AmazonPhoto,node,True,,,gaddconv,1,2,1,skipconcat,True,relu,0.0,mean,adam,0.1,379,0.0408,0.0017,293862.0,0.0753,0.0003,0.9964,0.0004,,,,,,,,
l_t,PyG,AmazonPhoto,node,True,,,gaddconv,3,2,2,skipconcat,False,swish,0.3,mean,adam,0.001,119,0.0759,0.0309,207491.0,0.0478,0.0059,0.9862,0.0064,,,,,,,,
l_t,PyG,AmazonPhoto,node,True,,,gaddconv,3,4,1,skipsum,True,relu,0.0,max,adam,0.01,79,0.174,0.0475,243587.0,0.1273,0.0058,0.9834,0.011,,,,,,,,
l_t,PyG,AmazonPhoto,node,True,,,gaddconv,3,6,1,skipconcat,True,swish,0.3,add,sgd,0.1,159,0.5371,0.0085,196012.0,0.1075,0.0032,0.8917,0.001,,,,,,,,
l_t,PyG,AmazonPhoto,node,True,,,generalconv,1,2,1,skipconcat,True,relu,0.0,mean,adam,0.1,379,0.0413,0.0062,293026.0,0.0454,0.0057,0.9963,0.0011,,,,,,,,
l_t,PyG,AmazonPhoto,node,True,,,generalconv,3,2,2,skipconcat,False,swish,0.3,mean,adam,0.001,139,0.0745,0.0275,210610.0,0.0314,0.0019,0.9837,0.0092,,,,,,,,
l_t,PyG,AmazonPhoto,node,True,,,generalconv,3,4,1,skipsum,True,relu,0.0,max,adam,0.01,99,0.1193,0.0019,244948.0,0.0608,0.0022,0.9965,0.0003,,,,,,,,
l_t,PyG,AmazonPhoto,node,True,,,generalconv,3,6,1,skipconcat,True,swish,0.3,add,sgd,0.1,79,1.0253,0.0669,195100.0,0.0751,0.0072,0.7519,0.0181,,,,,,,,
l_t,PyG,AmazonPhoto,node,True,,,gmulconv,1,2,1,skipconcat,True,relu,0.0,mean,adam,0.1,239,0.058,0.0132,293444.0,0.0798,0.0114,0.9927,0.003,,,,,,,,
