format,dataset,task,trans,feature,label,l_pre,l_mp,l_post,stage,agg,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
OGB,ogbg,graph,False,,,1,2,2,skipconcat,add,84,0.1225,0.0,616233.0,0.1058,0.0,0.966,0.0,0.7106,0.0,0.1575,0.0,0.2578,0.0,0.8105,0.0
OGB,ogbg,graph,False,,,1,2,2,skipconcat,max,69,0.1302,0.0,616233.0,0.1047,0.0,0.9654,0.0,0.7085,0.0,0.1282,0.0,0.2172,0.0,0.7762,0.0
OGB,ogbg,graph,False,,,1,2,2,skipconcat,mean,89,0.125,0.0,616233.0,0.067,0.0,0.9668,0.0,0.7518,0.0,0.1696,0.0,0.2768,0.0,0.7973,0.0
OGB,ogbg,graph,False,,,1,2,2,skipsum,add,30,0.1373,0.0,618244.0,0.0568,0.0,0.964,0.0,0.6412,0.0,0.0885,0.0,0.1555,0.0,0.7397,0.0
OGB,ogbg,graph,False,,,1,2,2,skipsum,max,11,0.1384,0.0,618244.0,0.0679,0.0,0.9639,0.0,0.6369,0.0,0.0812,0.0,0.144,0.0,0.7356,0.0
OGB,ogbg,graph,False,,,1,2,2,skipsum,mean,62,0.1308,0.0,618244.0,0.1024,0.0,0.9645,0.0,0.6419,0.0,0.1193,0.0,0.2012,0.0,0.7704,0.0
OGB,ogbg,graph,False,,,1,2,3,skipconcat,add,86,0.117,0.0,617690.0,0.0471,0.0,0.9678,0.0,0.7383,0.0,0.2175,0.0,0.3361,0.0,0.8293,0.0
OGB,ogbg,graph,False,,,1,2,3,skipconcat,max,62,0.1293,0.0,617690.0,0.0589,0.0,0.9652,0.0,0.6864,0.0,0.1315,0.0,0.2207,0.0,0.7865,0.0
OGB,ogbg,graph,False,,,1,2,3,skipconcat,mean,81,0.1255,0.0,617690.0,0.09,0.0,0.9671,0.0,0.7309,0.0,0.194,0.0,0.3066,0.0,0.788,0.0
OGB,ogbg,graph,False,,,1,2,3,skipsum,add,73,0.1264,0.0,617318.0,0.1052,0.0,0.9663,0.0,0.7057,0.0,0.1713,0.0,0.2756,0.0,0.7764,0.0
